model,N,d,D_hat,bias,ci_lo,ci_hi
Persistent,65536,4,1.7822,-0.2178,1.7695,1.7946
Persistent,65536,5,1.7410,-0.2590,1.7282,1.7541
Persistent,65536,6,1.7169,-0.2831,1.6984,1.7360
Persistent,65536,7,1.6612,-0.3388,1.6404,1.6812
Persistent,65536,8,1.6270,-0.3730,1.6089,1.6465
Persistent,65536,9,1.5980,-0.4020,1.5740,1.6220
Persistent,65536,10,1.5797,-0.4203,1.5611,1.5998
Persistent,65536,11,1.5503,-0.4497,1.5276,1.5724
Persistent,65536,12,1.5310,-0.4690,1.5060,1.5575
Persistent,65536,13,1.4936,-0.5064,1.4681,1.5221
Persistent,65536,14,1.4655,-0.5345,1.4419,1.4914
Persistent,65536,15,1.4488,-0.5512,1.4206,1.4764
Persistent,65536,16,1.4350,-0.5650,1.4098,1.4604
Persistent,65536,17,1.4036,-0.5964,1.3762,1.4322
Persistent,65536,18,1.3900,-0.6100,1.3664,1.4133
Persistent,65536,19,1.3685,-0.6315,1.3454,1.3939
Persistent,65536,20,1.3413,-0.6587,1.3170,1.3660
Persistent,262144,2,1.6686,-0.3314,1.6352,1.6996
Persistent,262144,3,1.8772,-0.1228,1.8560,1.8990
Persistent,262144,4,1.8801,-0.1199,1.8627,1.8974
Persistent,262144,5,1.8722,-0.1278,1.8588,1.8871
Persistent,262144,6,1.8426,-0.1574,1.8204,1.8650
Persistent,262144,7,1.8369,-0.1631,1.8089,1.8632
Persistent,262144,8,1.7966,-0.2034,1.7661,1.8332
Persistent,262144,9,1.7760,-0.2240,1.7578,1.7958
Persistent,262144,10,1.7453,-0.2547,1.7202,1.7685
Persistent,262144,11,1.7288,-0.2712,1.7012,1.7542
Persistent,262144,12,1.7065,-0.2935,1.6827,1.7327
Persistent,262144,13,1.6955,-0.3045,1.6689,1.7227
Persistent,262144,14,1.6562,-0.3438,1.6277,1.6830
Persistent,262144,15,1.6541,-0.3459,1.6207,1.6944
Persistent,262144,16,1.6360,-0.3640,1.6151,1.6593
Persistent,262144,17,1.6410,-0.3590,1.6115,1.6731
Persistent,262144,18,1.6439,-0.3561,1.6029,1.6876
Persistent,262144,19,1.6324,-0.3676,1.5903,1.6801
Persistent,262144,20,1.5681,-0.4319,1.5465,1.5905
Persistent,1048576,2,1.6690,-0.3310,1.6436,1.6940
Persistent,1048576,3,1.9080,-0.0920,1.8872,1.9301
Persistent,1048576,4,1.9254,-0.0746,1.9116,1.9387
Persistent,1048576,5,1.9361,-0.0639,1.9169,1.9576
Persistent,1048576,6,1.9215,-0.0785,1.9043,1.9388
Persistent,1048576,7,1.9207,-0.0793,1.9042,1.9386
Persistent,1048576,8,1.9235,-0.0765,1.9014,1.9459
Persistent,1048576,9,1.9143,-0.0857,1.8904,1.9377
Persistent,1048576,10,1.9052,-0.0948,1.8840,1.9261
Persistent,1048576,11,1.8496,-0.1504,1.8302,1.8695
Persistent,1048576,12,1.8819,-0.1181,1.8467,1.9210
Persistent,1048576,13,1.8653,-0.1347,1.8382,1.8917
