x,bias,model,N,d,width,F_model
1.2654,-1.3303,SRW,1024,5,6,-1.5018
2.2654,-1.6524,SRW,1024,5,6,-1.7951
3.2654,-1.8799,SRW,1024,5,6,-1.9399
4.2654,-1.9929,SRW,1024,5,6,-1.9844
5.2654,-2.0000,SRW,1024,5,6,-1.9961
6.2654,-2.0000,SRW,1024,5,6,-1.9990
7.2654,-2.0000,SRW,1024,5,6,-1.9998
8.2654,-2.0000,SRW,1024,5,6,-1.9999
9.2654,-2.0000,SRW,1024,5,6,-2.0000
10.2654,-2.0000,SRW,1024,5,6,-2.0000
11.2654,-2.0000,SRW,1024,5,6,-2.0000
-0.6288,-0.4332,SRW,1024,6,4,-0.6849
0.3712,-0.9439,SRW,1024,6,4,-1.2249
1.3712,-1.4146,SRW,1024,6,4,-1.6840
2.3712,-1.7853,SRW,1024,6,4,-1.9085
3.3712,-1.9870,SRW,1024,6,4,-1.9763
4.3712,-2.0000,SRW,1024,6,4,-1.9940
5.3712,-2.0000,SRW,1024,6,4,-1.9985
6.3712,-2.0000,SRW,1024,6,4,-1.9996
7.3712,-2.0000,SRW,1024,6,4,-1.9999
8.3712,-2.0000,SRW,1024,6,4,-2.0000
9.3712,-2.0000,SRW,1024,6,4,-2.0000
10.3712,-2.0000,SRW,1024,6,4,-2.0000
11.3712,-2.0000,SRW,1024,6,4,-2.0000
12.3712,-2.0000,SRW,1024,6,4,-2.0000
-0.1288,-0.7051,SRW,1024,6,5,-0.9545
0.8712,-1.1787,SRW,1024,6,5,-1.4096
1.8712,-1.5651,SRW,1024,6,5,-1.7641
2.8712,-1.8457,SRW,1024,6,5,-1.9320
3.8712,-1.9907,SRW,1024,6,5,-1.9824
4.8712,-2.0000,SRW,1024,6,5,-1.9956
5.8712,-2.0000,SRW,1024,6,5,-1.9989
6.8712,-2.0000,SRW,1024,6,5,-1.9997
7.8712,-2.0000,SRW,1024,6,5,-1.9999
8.8712,-2.0000,SRW,1024,6,5,-2.0000
9.8712,-2.0000,SRW,1024,6,5,-2.0000
10.8712,-2.0000,SRW,1024,6,5,-2.0000
11.8712,-2.0000,SRW,1024,6,5,-2.0000
0.3712,-0.9409,SRW,1024,6,6,-1.1606
1.3712,-1.3506,SRW,1024,6,6,-1.5383
2.3712,-1.6655,SRW,1024,6,6,-1.8178
3.3712,-1.8838,SRW,1024,6,6,-1.9477
4.3712,-1.9930,SRW,1024,6,6,-1.9865
5.3712,-2.0000,SRW,1024,6,6,-1.9966
6.3712,-2.0000,SRW,1024,6,6,-1.9991
7.3712,-2.0000,SRW,1024,6,6,-1.9998
8.3712,-2.0000,SRW,1024,6,6,-1.9999
9.3712,-2.0000,SRW,1024,6,6,-2.0000
10.3712,-2.0000,SRW,1024,6,6,-2.0000
11.3712,-2.0000,SRW,1024,6,6,-2.0000
-0.5325,-0.4647,SRW,1024,7,4,-0.7352
0.4675,-1.0325,SRW,1024,7,4,-1.2755
1.4675,-1.4872,SRW,1024,7,4,-1.7166
2.4675,-1.8250,SRW,1024,7,4,-1.9194
3.4675,-1.9944,SRW,1024,7,4,-1.9792
4.4675,-2.0000,SRW,1024,7,4,-1.9948
5.4675,-2.0000,SRW,1024,7,4,-1.9987
6.4675,-2.0000,SRW,1024,7,4,-1.9997
7.4675,-2.0000,SRW,1024,7,4,-1.9999
8.4675,-2.0000,SRW,1024,7,4,-2.0000
9.4675,-2.0000,SRW,1024,7,4,-2.0000
10.4675,-2.0000,SRW,1024,7,4,-2.0000
11.4675,-2.0000,SRW,1024,7,4,-2.0000
12.4675,-2.0000,SRW,1024,7,4,-2.0000
-0.0325,-0.7498,SRW,1024,7,5,-0.9995
0.9675,-1.2526,SRW,1024,7,5,-1.4498
1.9675,-1.6206,SRW,1024,7,5,-1.7886
2.9675,-1.8746,SRW,1024,7,5,-1.9402
3.9675,-1.9960,SRW,1024,7,5,-1.9846
4.9675,-2.0000,SRW,1024,7,5,-1.9961
5.9675,-2.0000,SRW,1024,7,5,-1.9990
6.9675,-2.0000,SRW,1024,7,5,-1.9998
7.9675,-2.0000,SRW,1024,7,5,-1.9999
8.9675,-2.0000,SRW,1024,7,5,-2.0000
9.9675,-2.0000,SRW,1024,7,5,-2.0000
10.9675,-2.0000,SRW,1024,7,5,-2.0000
11.9675,-2.0000,SRW,1024,7,5,-2.0000
0.4675,-0.9856,SRW,1024,7,6,-1.1992
1.4675,-1.4113,SRW,1024,7,6,-1.5705
2.4675,-1.7089,SRW,1024,7,6,-1.8369
3.4675,-1.9058,SRW,1024,7,6,-1.9540
4.4675,-1.9970,SRW,1024,7,6,-1.9881
5.4675,-2.0000,SRW,1024,7,6,-1.9970
6.4675,-2.0000,SRW,1024,7,6,-1.9993
7.4675,-2.0000,SRW,1024,7,6,-1.9998
8.4675,-2.0000,SRW,1024,7,6,-2.0000
9.4675,-2.0000,SRW,1024,7,6,-2.0000
10.4675,-2.0000,SRW,1024,7,6,-2.0000
11.4675,-2.0000,SRW,1024,7,6,-2.0000
-0.4480,-0.5247,SRW,1024,8,4,-0.7800
0.5520,-1.0686,SRW,1024,8,4,-1.3192
1.5520,-1.5057,SRW,1024,8,4,-1.7430
2.5520,-1.8365,SRW,1024,8,4,-1.9280
3.5520,-1.9948,SRW,1024,8,4,-1.9815
4.5520,-2.0000,SRW,1024,8,4,-1.9953
5.5520,-2.0000,SRW,1024,8,4,-1.9988
6.5520,-2.0000,SRW,1024,8,4,-1.9997
7.5520,-2.0000,SRW,1024,8,4,-1.9999
8.5520,-2.0000,SRW,1024,8,4,-2.0000
9.5520,-2.0000,SRW,1024,8,4,-2.0000
10.5520,-2.0000,SRW,1024,8,4,-2.0000
11.5520,-2.0000,SRW,1024,8,4,-2.0000
12.5520,-2.0000,SRW,1024,8,4,-2.0000
0.0520,-0.7992,SRW,1024,8,5,-1.0390
1.0520,-1.2811,SRW,1024,8,5,-1.4842
2.0520,-1.6347,SRW,1024,8,5,-1.8085
3.0520,-1.8829,SRW,1024,8,5,-1.9466
4.0520,-1.9963,SRW,1024,8,5,-1.9863
5.0520,-2.0000,SRW,1024,8,5,-1.9965
6.0520,-2.0000,SRW,1024,8,5,-1.9991
7.0520,-2.0000,SRW,1024,8,5,-1.9998
8.0520,-2.0000,SRW,1024,8,5,-1.9999
9.0520,-2.0000,SRW,1024,8,5,-2.0000
10.0520,-2.0000,SRW,1024,8,5,-2.0000
11.0520,-2.0000,SRW,1024,8,5,-2.0000
12.0520,-2.0000,SRW,1024,8,5,-2.0000
0.5520,-1.0259,SRW,1024,8,6,-1.2328
1.5520,-1.4340,SRW,1024,8,6,-1.5980
2.5520,-1.7199,SRW,1024,8,6,-1.8522
3.5520,-1.9120,SRW,1024,8,6,-1.9589
4.5520,-1.9972,SRW,1024,8,6,-1.9894
5.5520,-2.0000,SRW,1024,8,6,-1.9973
6.5520,-2.0000,SRW,1024,8,6,-1.9993
7.5520,-2.0000,SRW,1024,8,6,-1.9998
8.5520,-2.0000,SRW,1024,8,6,-2.0000
9.5520,-2.0000,SRW,1024,8,6,-2.0000
10.5520,-2.0000,SRW,1024,8,6,-2.0000
11.5520,-2.0000,SRW,1024,8,6,-2.0000
-0.3703,-0.6384,SRW,1024,9,4,-0.8216
0.6297,-1.1724,SRW,1024,9,4,-1.3587
1.6297,-1.5889,SRW,1024,9,4,-1.7656
2.6297,-1.8840,SRW,1024,9,4,-1.9351
3.6297,-1.9990,SRW,1024,9,4,-1.9834
4.6297,-2.0000,SRW,1024,9,4,-1.9958
5.6297,-2.0000,SRW,1024,9,4,-1.9990
6.6297,-2.0000,SRW,1024,9,4,-1.9997
7.6297,-2.0000,SRW,1024,9,4,-1.9999
8.6297,-2.0000,SRW,1024,9,4,-2.0000
9.6297,-2.0000,SRW,1024,9,4,-2.0000
10.6297,-2.0000,SRW,1024,9,4,-2.0000
11.6297,-2.0000,SRW,1024,9,4,-2.0000
12.6297,-2.0000,SRW,1024,9,4,-2.0000
0.1297,-0.9054,SRW,1024,9,5,-1.0754
1.1297,-1.3669,SRW,1024,9,5,-1.5151
2.1297,-1.6980,SRW,1024,9,5,-1.8254
3.1297,-1.9170,SRW,1024,9,5,-1.9518
4.1297,-1.9993,SRW,1024,9,5,-1.9877
5.1297,-2.0000,SRW,1024,9,5,-1.9969
6.1297,-2.0000,SRW,1024,9,5,-1.9992
7.1297,-2.0000,SRW,1024,9,5,-1.9998
8.1297,-2.0000,SRW,1024,9,5,-2.0000
9.1297,-2.0000,SRW,1024,9,5,-2.0000
10.1297,-2.0000,SRW,1024,9,5,-2.0000
11.1297,-2.0000,SRW,1024,9,5,-2.0000
12.1297,-2.0000,SRW,1024,9,5,-2.0000
0.6297,-1.1180,SRW,1024,9,6,-1.2635
1.6297,-1.5042,SRW,1024,9,6,-1.6226
2.6297,-1.7693,SRW,1024,9,6,-1.8654
3.6297,-1.9377,SRW,1024,9,6,-1.9629
4.6297,-1.9995,SRW,1024,9,6,-1.9905
5.6297,-2.0000,SRW,1024,9,6,-1.9976
6.6297,-2.0000,SRW,1024,9,6,-1.9994
7.6297,-2.0000,SRW,1024,9,6,-1.9999
8.6297,-2.0000,SRW,1024,9,6,-2.0000
9.6297,-2.0000,SRW,1024,9,6,-2.0000
10.6297,-2.0000,SRW,1024,9,6,-2.0000
11.6297,-2.0000,SRW,1024,9,6,-2.0000
-0.2971,-0.6218,SRW,1024,10,4,-0.8613
0.7029,-1.1805,SRW,1024,10,4,-1.3952
1.7029,-1.5954,SRW,1024,10,4,-1.7854
2.7029,-1.8878,SRW,1024,10,4,-1.9412
3.7029,-1.9984,SRW,1024,10,4,-1.9850
4.7029,-2.0000,SRW,1024,10,4,-1.9962
5.7029,-2.0000,SRW,1024,10,4,-1.9991
6.7029,-2.0000,SRW,1024,10,4,-1.9998
7.7029,-2.0000,SRW,1024,10,4,-1.9999
8.7029,-2.0000,SRW,1024,10,4,-2.0000
